"nqx","nqx_i","lx","lx_i","ex_i","Sexo","x"
0.000844,0.000843,1e+05,1e+05,269.0224,"Hombres",0
0.000228,0.000228,99915.6,99915.71,268.2493,"Hombres",1
0.000111,0.000109,99892.79,99892.93,264.3101,"Hombres",5
0.000118,0.000114,99881.67,99882.02,259.3387,"Hombres",10
0.000248,0.000225,99869.84,99870.68,254.3679,"Hombres",15
0.00042,0.000352,99845.07,99848.19,249.4246,"Hombres",20
0.000521,0.000433,99803.14,99813.03,244.5116,"Hombres",25
0.000566,0.000494,99751.14,99769.82,239.6164,"Hombres",30
0.000635,0.000564,99694.66,99720.55,234.7336,"Hombres",35
0.000791,0.000721,99631.41,99664.27,229.8647,"Hombres",40
0.000919,0.000876,99552.59,99592.38,225.0288,"Hombres",45
0.0012,0.001162,99461.11,99505.11,220.224,"Hombres",50
0.001954,0.001893,99341.74,99389.51,215.4772,"Hombres",55
0.002503,0.002455,99147.65,99201.34,210.8812,"Hombres",60
0.003669,0.003618,98899.44,98957.78,206.3941,"Hombres",65
0.005195,0.005162,98536.54,98599.77,202.1344,"Hombres",70
0.008916,0.008904,98024.69,98090.8,198.1703,"Hombres",75
0.013744,0.013715,97150.73,97217.4,194.9282,"Hombres",80
1,1,95815.46,95884.08,192.604,"Hombres",85
0.000744,0.000743,1e+05,1e+05,337.9183,"Mujeres",0
0.000224,0.000223,99925.56,99925.71,337.1694,"Mujeres",1
8.2e-05,8.2e-05,99903.21,99903.42,333.2443,"Mujeres",5
8.6e-05,8.5e-05,99895.06,99895.23,328.2714,"Mujeres",10
0.000128,0.00012,99886.47,99886.73,323.2992,"Mujeres",15
0.000145,0.00014,99873.73,99874.79,318.3375,"Mujeres",20
0.00018,0.000168,99859.2,99860.78,313.3818,"Mujeres",25
0.000227,0.00022,99841.21,99843.98,308.4341,"Mujeres",30
0.000319,0.000306,99818.57,99822.03,303.5014,"Mujeres",35
0.000426,0.00042,99786.76,99791.47,298.5936,"Mujeres",40
0.000663,0.000659,99744.28,99749.53,293.7181,"Mujeres",45
0.000924,0.00092,99678.18,99683.76,288.9102,"Mujeres",50
0.001594,0.001591,99586.05,99592.07,284.1739,"Mujeres",55
0.002103,0.002103,99427.3,99433.66,279.6227,"Mujeres",60
0.002847,0.002842,99218.2,99224.55,275.2067,"Mujeres",65
0.004297,0.00429,98935.74,98942.58,270.9838,"Mujeres",70
0.007643,0.007638,98510.62,98518.14,267.1405,"Mujeres",75
0.010362,0.010362,97757.74,97765.69,264.1773,"Mujeres",80
1,1,96744.74,96752.64,261.9172,"Mujeres",85
