"x","n","nMx","nax","nqx","npx","lx","ndx","nLx","Tx","ex","Sexo","Anio"
0,1,0.000734,0.047,0.000734,0.999266,1e+05,73.38,99930.07,26927872.2,269.2787,"Hombres","2010"
1,4,5.4e-05,1.6489,0.000216,0.999784,99926.62,21.55,399655.83,26827942.13,268.4764,"Hombres","2010"
5,5,2e-05,2.5,9.9e-05,0.999901,99905.07,9.85,499500.72,26428286.3,264.534,"Hombres","2010"
10,5,2.4e-05,2.5,0.000122,0.999878,99895.22,12.17,499445.66,25928785.58,259.5598,"Hombres","2010"
15,5,5.1e-05,2.5,0.000255,0.999745,99883.05,25.45,499351.61,25429339.92,254.5912,"Hombres","2010"
20,5,8.3e-05,2.5,0.000417,0.999583,99857.6,41.66,499183.84,24929988.31,249.6554,"Hombres","2010"
25,5,0.000101,2.5,0.000503,0.999497,99815.94,50.23,498954.11,24430804.46,244.7586,"Hombres","2010"
30,5,0.000127,2.5,0.000637,0.999363,99765.71,63.57,498669.61,23931850.35,239.8805,"Hombres","2010"
35,5,0.000119,2.5,0.000596,0.999404,99702.14,59.43,498362.12,23433180.74,235.0319,"Hombres","2010"
40,5,0.000146,2.5,0.000732,0.999268,99642.71,72.92,498031.25,22934818.63,230.1706,"Hombres","2010"
45,5,0.000195,2.5,0.000975,0.999025,99569.79,97.03,497606.37,22436787.37,225.3373,"Hombres","2010"
50,5,0.00026,2.5,0.001301,0.998699,99472.76,129.46,497040.14,21939181,220.5547,"Hombres","2010"
55,5,0.000383,2.5,0.001915,0.998085,99343.3,190.2,496240.99,21442140.86,215.8388,"Hombres","2010"
60,5,0.000486,2.5,0.002427,0.997573,99153.1,240.61,495163.96,20945899.87,211.2481,"Hombres","2010"
65,5,0.000806,2.5,0.00402,0.99598,98912.49,397.63,493568.36,20450735.91,206.7559,"Hombres","2010"
70,5,0.001126,2.5,0.005614,0.994386,98514.86,553.1,491191.54,19957167.56,202.5803,"Hombres","2010"
75,5,0.0018,2.5,0.008958,0.991042,97961.76,877.55,487614.91,19465976.02,198.71,"Hombres","2010"
80,5,0.00275,2.5,0.013658,0.986342,97084.21,1325.95,482106.17,18978361.11,195.4835,"Hombres","2010"
85,NA,0.005177,193.1557,1,0,95758.26,95758.26,18496254.94,18496254.94,193.1557,"Hombres","2010"
0,1,0.000583,0.0546,0.000583,0.999417,1e+05,58.29,99944.89,33561991.72,335.6199,"Mujeres","2010"
1,4,5.3e-05,1.5211,0.000213,0.999787,99941.71,21.3,399714.03,33462046.83,334.8156,"Mujeres","2010"
5,5,2e-05,2.5,0.000102,0.999898,99920.41,10.15,499576.66,33062332.8,330.8867,"Mujeres","2010"
10,5,2e-05,2.5,9.9e-05,0.999901,99910.26,9.88,499526.57,32562756.15,325.9201,"Mujeres","2010"
15,5,3e-05,2.5,0.000148,0.999852,99900.37,14.78,499464.91,32063229.57,320.952,"Mujeres","2010"
20,5,3.5e-05,2.5,0.000175,0.999825,99885.59,17.48,499384.26,31563764.66,315.9992,"Mujeres","2010"
25,5,3.7e-05,2.5,0.000186,0.999814,99868.11,18.62,499294.01,31064380.41,311.054,"Mujeres","2010"
30,5,4.6e-05,2.5,0.000228,0.999772,99849.49,22.74,499190.62,30565086.4,306.1116,"Mujeres","2010"
35,5,5.1e-05,2.5,0.000254,0.999746,99826.75,25.4,499070.28,30065895.78,301.1807,"Mujeres","2010"
40,5,8e-05,2.5,0.000402,0.999598,99801.36,40.13,498906.46,29566825.5,296.2567,"Mujeres","2010"
45,5,0.000141,2.5,0.000703,0.999297,99761.23,70.12,498630.83,29067919.04,291.3749,"Mujeres","2010"
50,5,0.000172,2.5,0.000859,0.999141,99691.11,85.59,498241.55,28569288.21,286.5781,"Mujeres","2010"
55,5,0.000293,2.5,0.001466,0.998534,99605.51,146.06,497662.4,28071046.67,281.8222,"Mujeres","2010"
60,5,0.000369,2.5,0.001844,0.998156,99459.45,183.44,496838.65,27573384.26,277.2324,"Mujeres","2010"
65,5,0.000661,2.5,0.0033,0.9967,99276.01,327.64,495560.96,27076545.61,272.7401,"Mujeres","2010"
70,5,0.000934,2.5,0.004661,0.995339,98948.37,461.16,493588.99,26580984.65,268.6349,"Mujeres","2010"
75,5,0.00146,2.5,0.007272,0.992728,98487.22,716.2,490645.61,26087395.67,264.881,"Mujeres","2010"
80,5,0.002001,2.5,0.009957,0.990043,97771.02,973.49,486421.4,25596750.06,261.803,"Mujeres","2010"
85,NA,0.003855,259.4108,1,0,96797.53,96797.53,25110328.66,25110328.66,259.4108,"Mujeres","2010"
0,1,0.000845,0.0473,0.000844,0.999156,1e+05,84.4,99919.59,26884586.46,268.8459,"Hombres","2019"
1,4,5.7e-05,1.6486,0.000228,0.999772,99915.6,22.81,399608.76,26784666.87,268.0729,"Hombres","2019"
5,5,2.2e-05,2.5,0.000111,0.999889,99892.79,11.12,499436.14,26385058.12,264.1338,"Hombres","2019"
10,5,2.4e-05,2.5,0.000118,0.999882,99881.67,11.83,499378.76,25885621.98,259.1629,"Hombres","2019"
15,5,5e-05,2.5,0.000248,0.999752,99869.84,24.77,499287.25,25386243.22,254.1933,"Hombres","2019"
20,5,8.4e-05,2.5,0.00042,0.99958,99845.07,41.92,499120.52,24886955.97,249.2557,"Hombres","2019"
25,5,0.000104,2.5,0.000521,0.999479,99803.14,52.01,498885.69,24387835.45,244.3594,"Hombres","2019"
30,5,0.000113,2.5,0.000566,0.999434,99751.14,56.47,498614.5,23888949.75,239.4855,"Hombres","2019"
35,5,0.000127,2.5,0.000635,0.999365,99694.66,63.26,498315.18,23390335.25,234.6197,"Hombres","2019"
40,5,0.000158,2.5,0.000791,0.999209,99631.41,78.82,497959.99,22892020.08,229.7671,"Hombres","2019"
45,5,0.000184,2.5,0.000919,0.999081,99552.59,91.48,497534.25,22394060.09,224.947,"Hombres","2019"
50,5,0.00024,2.5,0.0012,0.9988,99461.11,119.37,497007.12,21896525.84,220.1516,"Hombres","2019"
55,5,0.000391,2.5,0.001954,0.998046,99341.74,194.09,496223.46,21399518.72,215.4132,"Hombres","2019"
60,5,0.000501,2.5,0.002503,0.997497,99147.65,248.21,495117.72,20903295.26,210.83,"Hombres","2019"
65,5,0.000735,2.5,0.003669,0.996331,98899.44,362.9,493589.95,20408177.54,206.3528,"Hombres","2019"
70,5,0.001042,2.5,0.005195,0.994805,98536.54,511.85,491403.08,19914587.59,202.1036,"Hombres","2019"
75,5,0.001791,2.5,0.008916,0.991084,98024.69,873.96,487938.55,19423184.51,198.1458,"Hombres","2019"
80,5,0.002768,2.5,0.013744,0.986256,97150.73,1335.27,482415.48,18935245.96,194.9059,"Hombres","2019"
85,NA,0.005192,192.5872,1,0,95815.46,95815.46,18452830.48,18452830.48,192.5872,"Hombres","2019"
0,1,0.000745,0.0551,0.000744,0.999256,1e+05,74.44,99929.66,33791461.87,337.9146,"Mujeres","2019"
1,4,5.6e-05,1.5209,0.000224,0.999776,99925.56,22.35,399646.82,33691532.21,337.1663,"Mujeres","2019"
5,5,1.6e-05,2.5,8.2e-05,0.999918,99903.21,8.14,499495.67,33291885.39,333.2414,"Mujeres","2019"
10,5,1.7e-05,2.5,8.6e-05,0.999914,99895.06,8.59,499453.83,32792389.72,328.2684,"Mujeres","2019"
15,5,2.6e-05,2.5,0.000128,0.999872,99886.47,12.74,499400.5,32292935.9,323.2964,"Mujeres","2019"
20,5,2.9e-05,2.5,0.000145,0.999855,99873.73,14.53,499332.33,31793535.4,318.3373,"Mujeres","2019"
25,5,3.6e-05,2.5,0.00018,0.99982,99859.2,18,499251.02,31294203.07,313.3833,"Mujeres","2019"
30,5,4.5e-05,2.5,0.000227,0.999773,99841.21,22.64,499149.44,30794952.05,308.4393,"Mujeres","2019"
35,5,6.4e-05,2.5,0.000319,0.999681,99818.57,31.81,499013.32,30295802.61,303.5087,"Mujeres","2019"
40,5,8.5e-05,2.5,0.000426,0.999574,99786.76,42.48,498827.62,29796789.29,298.6046,"Mujeres","2019"
45,5,0.000133,2.5,0.000663,0.999337,99744.28,66.11,498556.16,29297961.67,293.7307,"Mujeres","2019"
50,5,0.000185,2.5,0.000924,0.999076,99678.18,92.13,498160.57,28799405.52,288.9239,"Mujeres","2019"
55,5,0.000319,2.5,0.001594,0.998406,99586.05,158.75,497533.38,28301244.94,284.1888,"Mujeres","2019"
60,5,0.000421,2.5,0.002103,0.997897,99427.3,209.1,496613.74,27803711.57,279.6386,"Mujeres","2019"
65,5,0.00057,2.5,0.002847,0.997153,99218.2,282.46,495384.84,27307097.82,275.2227,"Mujeres","2019"
70,5,0.000861,2.5,0.004297,0.995703,98935.74,425.12,493615.89,26811712.99,271.0013,"Mujeres","2019"
75,5,0.001534,2.5,0.007643,0.992357,98510.62,752.88,490670.9,26318097.1,267.16,"Mujeres","2019"
80,5,0.002083,2.5,0.010362,0.989638,97757.74,1013,486256.2,25827426.2,264.1983,"Mujeres","2019"
85,NA,0.003818,261.9385,1,0,96744.74,96744.74,25341170,25341170,261.9385,"Mujeres","2019"
0,1,0.000804,0.0472,0.000803,0.999197,1e+05,80.3,99923.49,21895557.69,218.9556,"Hombres","2021"
1,4,5.6e-05,1.6487,0.000225,0.999775,99919.7,22.48,399625.94,21795634.2,218.1315,"Hombres","2021"
5,5,1.3e-05,2.5,6.6e-05,0.999934,99897.22,6.61,499469.56,21396008.26,214.1802,"Hombres","2021"
10,5,2.4e-05,2.5,0.000118,0.999882,99890.6,11.77,499423.6,20896538.7,209.1942,"Hombres","2021"
15,5,5.6e-05,2.5,0.000278,0.999722,99878.84,27.81,499324.66,20397115.1,204.2186,"Hombres","2021"
20,5,8.7e-05,2.5,0.000435,0.999565,99851.03,43.42,499146.59,19897790.44,199.2748,"Hombres","2021"
25,5,0.000111,2.5,0.000553,0.999447,99807.61,55.22,498899.98,19398643.85,194.3604,"Hombres","2021"
30,5,0.000128,2.5,0.000639,0.999361,99752.39,63.7,498602.69,18899743.87,189.4666,"Hombres","2021"
35,5,0.000168,2.5,0.000839,0.999161,99688.69,83.6,498234.45,18401141.18,184.586,"Hombres","2021"
40,5,0.00021,2.5,0.001049,0.998951,99605.09,104.53,497764.12,17902906.73,179.7389,"Hombres","2021"
45,5,0.000285,2.5,0.001424,0.998576,99500.56,141.72,497148.5,17405142.61,174.9251,"Hombres","2021"
50,5,0.000362,2.5,0.001808,0.998192,99358.84,179.67,496345.03,16907994.11,170.171,"Hombres","2021"
55,5,0.000567,2.5,0.002832,0.997168,99179.17,280.88,495193.65,16411649.07,165.4748,"Hombres","2021"
60,5,0.000738,2.5,0.003684,0.996316,98898.29,364.3,493580.69,15916455.43,160.9376,"Hombres","2021"
65,5,0.001127,2.5,0.005618,0.994382,98533.99,553.53,491286.12,15422874.73,156.5234,"Hombres","2021"
70,5,0.001625,2.5,0.008091,0.991909,97980.46,792.72,487920.48,14931588.62,152.3935,"Hombres","2021"
75,5,0.002584,2.5,0.012838,0.987162,97187.74,1247.7,482819.43,14443668.13,148.6162,"Hombres","2021"
80,5,0.004077,2.5,0.02018,0.97982,95940.03,1936.09,474859.93,13960848.71,145.5164,"Hombres","2021"
85,NA,0.00697,143.462,1,0,94003.94,94003.94,13485988.77,13485988.77,143.462,"Hombres","2021"
0,1,0.000684,0.0549,0.000683,0.999317,1e+05,68.33,99935.42,29570564.35,295.7056,"Mujeres","2021"
1,4,5.4e-05,1.521,0.000215,0.999785,99931.67,21.47,399673.45,29470628.93,294.9078,"Mujeres","2021"
5,5,1.5e-05,2.5,7.5e-05,0.999925,99910.2,7.45,499532.37,29070955.48,290.9709,"Mujeres","2021"
10,5,1.7e-05,2.5,8.3e-05,0.999917,99902.75,8.34,499492.91,28571423.11,285.9924,"Mujeres","2021"
15,5,2.7e-05,2.5,0.000135,0.999865,99894.41,13.5,499438.32,28071930.2,281.016,"Mujeres","2021"
20,5,3.4e-05,2.5,0.00017,0.99983,99880.91,17.01,499362.04,27572491.89,276.0537,"Mujeres","2021"
