"AgeGrpStart","tef","entidad","grupo_edad"
15,73.8,"Chiapas (2019)","15-19"
20,141.6,"Chiapas (2019)","20-24"
25,137.8,"Chiapas (2019)","25-29"
30,95.3,"Chiapas (2019)","30-34"
35,53.8,"Chiapas (2019)","35-39"
40,16.6,"Chiapas (2019)","40-44"
45,1.9,"Chiapas (2019)","45-49"
15,62.1,"México (2019)","15-19"
20,118.2,"México (2019)","20-24"
25,106.5,"México (2019)","25-29"
30,71.8,"México (2019)","30-34"
35,36.2,"México (2019)","35-39"
40,8.9,"México (2019)","40-44"
45,0.8,"México (2019)","45-49"
15,27.2,"Chile (2019)","15-19"
20,64.5,"Chile (2019)","20-24"
25,79.3,"Chile (2019)","25-29"
30,61.4,"Chile (2019)","30-34"
35,31.2,"Chile (2019)","35-39"
40,8.1,"Chile (2019)","40-44"
45,0.6,"Chile (2019)","45-49"
